Time [s],pos_chart_series_1,pos_chart_series_2,sway_chart_series_1,u_chart_series_1
2.6660,0.0000,0.0000,0.0000,0.0000
2.6820,0.0000,0.0000,0.0000,0.0000
2.6980,0.0000,0.0000,0.0000,0.0000
2.7140,0.0000,0.0000,0.0000,0.0000
2.7310,0.0000,0.0000,0.0000,0.0000
2.7480,0.0000,0.0000,0.0000,0.0000
2.7640,0.0000,0.0000,0.0000,0.0000
2.7810,0.0000,0.0000,0.0000,0.0000
2.7980,0.0000,0.0000,0.0000,0.0000
2.8140,0.0000,0.0000,0.0000,0.0000
2.8300,0.0000,0.0000,0.0000,0.0000
2.8460,0.0000,0.0000,0.0000,0.0000
2.8620,0.0000,0.0000,0.0000,0.0000
2.8790,0.0000,0.0000,0.0000,0.0000
2.8950,0.0000,0.0000,0.0000,0.0000
2.9120,0.0000,0.0000,0.0000,0.0000
2.9290,0.0000,0.0000,0.0000,0.0000
2.9450,0.0000,0.0000,0.0000,0.0000
2.9620,0.0000,0.0000,0.0000,0.0000
2.9790,0.0000,0.0000,0.0000,0.0000
2.9960,0.0000,0.0000,0.0000,0.0000
3.0120,0.0000,0.0000,0.0000,0.0000
3.0290,0.0000,0.0000,0.0000,0.0000
3.0460,0.0000,0.0000,0.0000,0.0000
3.0630,0.0000,0.0000,0.0000,0.0000
3.0790,0.0000,0.0000,0.0000,0.0000
3.0960,0.0000,0.0000,0.0000,0.0000
3.1120,0.0000,0.0000,0.0000,0.0000
3.1280,0.0000,0.0000,0.0000,0.0000
3.1450,0.0000,0.0000,0.0000,0.0000
3.1620,0.0000,0.0000,0.0000,0.0000
3.1790,0.0000,0.0000,0.0000,0.0000
3.1940,0.0000,0.0000,0.0000,0.0000
3.2100,0.0000,0.0000,0.0000,0.0000
3.2260,0.0000,0.0000,0.0000,0.0000
3.2430,0.0000,0.0000,0.0000,0.0000
3.2600,0.0000,0.0000,0.0000,0.0000
3.2760,0.0000,0.0000,0.0000,0.0000
3.2930,0.0000,0.0000,0.0000,0.0000
