Time [s],pos_x_chart_series_1,pos_x_chart_series_2,pos_y_chart_series_1,pos_y_chart_series_2,u_chart_series_1,u_chart_series_2,status_color
0.4260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.4430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.4760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.4920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.5090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.5260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.5420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.5590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.5760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.5920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.6080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.6240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.6400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.6560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.6730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.7060,-0.0222,-0.0000,0.2142,0.0000,-0.2222,2.1422,100.0000
0.7230,-0.0218,-0.0000,0.2142,0.0001,-0.2174,2.1388,100.0000
0.7390,-0.0218,-0.0000,0.2142,0.0002,-0.2166,2.1312,100.0000
0.7550,-0.0213,-0.0000,0.2138,0.0004,-0.2114,2.1189,100.0000
0.7710,-0.0213,-0.0001,0.2138,0.0007,-0.2104,2.1091,100.0000
0.7870,-0.0213,-0.0001,0.2138,0.0010,-0.2093,2.0981,100.0000
0.8040,-0.0213,-0.0001,0.2133,0.0015,-0.2084,2.0843,100.0000
0.8210,-0.0213,-0.0002,0.2129,0.0020,-0.2068,2.0642,100.0000
0.8370,-0.0218,-0.0003,0.2124,0.0025,-0.2095,2.0422,100.0000
0.8530,-0.0218,-0.0003,0.2120,0.0031,-0.2085,2.0280,100.0000
0.8690,-0.0218,-0.0004,0.2116,0.0037,-0.2071,2.0099,100.0000
